iter	Passed	Remaining
572	1442	1075
573	1444	1072
574	1446	1069
575	1448	1066
576	1450	1063
577	1453	1060
578	1455	1058
579	1457	1055
580	1459	1052
581	1461	1049
582	1463	1046
583	1465	1044
584	1468	1041
585	1471	1039
586	1473	1036
587	1475	1033
588	1477	1030
589	1479	1027
590	1481	1025
591	1483	1022
592	1486	1019
593	1487	1017
594	1489	1014
595	1492	1011
596	1494	1008
597	1496	1005
598	1498	1003
599	1502	1001
600	1505	999
601	1508	997
602	1510	994
603	1512	991
604	1515	989
605	1518	987
606	1522	985
607	1524	983
608	1529	982
609	1532	979
610	1534	976
611	1536	973
612	1538	971
613	1539	968
614	1541	965
615	1543	962
616	1546	959
617	1548	957
618	1550	954
619	1551	951
620	1553	948
621	1555	945
622	1557	942
623	1560	940
624	1562	937
625	1564	934
626	1565	931
627	1567	928
628	1569	925
629	1571	923
630	1573	920
631	1576	917
632	1578	915
633	1580	912
634	1581	909
635	1583	906
636	1585	903
637	1587	900
638	1590	898
639	1592	895
640	1594	893
641	1596	890
642	1598	887
643	1600	884
644	1601	881
645	1603	878
646	1606	876
647	1609	874
648	1611	871
649	1615	869
650	1617	866
651	1619	864
652	1622	861
653	1624	859
654	1626	856
655	1628	854
656	1630	851
657	1633	848
658	1636	846
659	1638	844
660	1640	841
661	1642	838
662	1644	835
663	1646	833
664	1648	830
665	1650	827
666	1652	825
667	1655	822
668	1657	820
669	1659	817
670	1661	814
671	1664	812
672	1666	809
673	1668	807
674	1670	804
675	1672	801
676	1674	798
677	1676	795
678	1677	793
679	1679	790
680	1682	788
681	1684	785
682	1686	782
683	1688	779
684	1690	777
685	1692	774
686	1694	771
687	1696	769
688	1699	766
689	1701	764
690	1703	761
691	1706	759
692	1708	756
693	1711	754
694	1713	751
695	1714	749
696	1716	746
697	1718	743
698	1720	740
699	1722	738
700	1724	735
701	1726	733
702	1728	730
703	1730	727
704	1732	724
705	1734	722
706	1736	719
707	1737	716
708	1739	714
709	1742	711
710	1744	709
711	1746	706
712	1748	703
713	1750	701
714	1752	698
715	1754	695
716	1756	693
717	1758	690
718	1760	688
719	1762	685
720	1764	682
721	1766	680
722	1768	677
723	1770	674
724	1773	672
725	1775	670
726	1777	667
727	1779	664
728	1781	662
729	1782	659
730	1784	656
731	1787	654
732	1789	651
733	1791	649
734	1793	646
735	1795	644
736	1797	641
737	1799	638
738	1802	636
739	1804	633
740	1806	631
741	1807	628
742	1809	626
743	1811	623
744	1813	620
745	1815	618
746	1818	615
747	1820	613
748	1822	610
749	1824	608
750	1826	605
751	1828	602
752	1830	600
753	1833	598
754	1835	595
755	1837	592
756	1839	590
757	1841	587
758	1843	585
759	1844	582
760	1848	580
761	1851	578
762	1853	575
763	1855	573
764	1857	570
765	1859	568
766	1861	565
767	1864	563
768	1866	560
769	1867	557
770	1869	555
771	1871	552
772	1873	550
773	1875	547
774	1877	545
775	1880	542
776	1882	540
777	1885	537
778	1887	535
779	1889	532
780	1890	530
781	1893	527
782	1895	525
783	1897	522
784	1899	520
785	1901	517
786	1903	515
787	1905	512
788	1908	510
789	1910	507
790	1912	505
791	1914	502
792	1916	500
793	1918	497
794	1920	495
795	1922	492
796	1925	490
797	1926	487
798	1929	485
799	1931	482
800	1932	480
801	1934	477
802	1936	475
803	1939	472
804	1941	470
805	1943	467
806	1945	465
807	1947	462
808	1949	460
809	1950	457
810	1953	455
811	1955	452
812	1957	450
813	1959	447
814	1961	445
815	1963	442
816	1965	440
817	1968	437
818	1970	435
819	1972	433
820	1975	430
821	1977	428
822	1979	425
823	1980	423
824	1983	420
825	1985	418
826	1987	415
827	1990	413
828	1992	410
829	1994	408
830	1996	405
831	1998	403
832	2000	401
833	2002	398
834	2004	396
835	2006	393
836	2008	391
837	2010	388
838	2012	386
839	2014	383
840	2017	381
841	2018	378
842	2020	376
843	2022	373
844	2024	371
845	2026	368
846	2029	366
847	2031	364
848	2033	361
849	2035	359
850	2037	356
851	2039	354
852	2041	351
853	2043	349
854	2045	346
855	2048	344
856	2050	342
857	2051	339
858	2053	337
859	2055	334
860	2057	332
861	2060	329
862	2062	327
863	2064	324
864	2066	322
865	2068	320
866	2069	317
867	2071	315
868	2074	312
869	2076	310
870	2079	307
871	2081	305
872	2083	303
873	2085	300
874	2087	298
875	2090	295
876	2092	293
877	2094	291
878	2096	288
879	2097	286
880	2099	283
881	2101	281
882	2103	278
883	2105	276
884	2108	273
885	2109	271
886	2112	269
887	2113	266
888	2115	264
889	2117	261
890	2120	259
891	2122	256
892	2124	254
893	2126	252
894	2127	249
895	2129	247
896	2131	244
897	2133	242
898	2136	239
899	2138	237
900	2140	235
901	2141	232
902	2143	230
903	2145	227
904	2147	225
905	2150	223
906	2152	220
907	2154	218
908	2156	215
909	2158	213
910	2160	211
911	2162	208
912	2163	206
913	2166	203
914	2168	201
915	2170	199
916	2173	196
917	2175	194
918	2177	191
919	2179	189
920	2181	187
921	2183	184
922	2185	182
923	2187	179
924	2189	177
925	2191	175
926	2193	172
927	2195	170
928	2198	167
929	2200	165
930	2202	163
931	2204	160
932	2205	158
933	2207	156
934	2209	153
935	2212	151
936	2214	148
937	2216	146
938	2219	144
939	2221	141
940	2223	139
941	2225	137
942	2227	134
943	2229	132
944	2231	129
945	2233	127
946	2235	125
947	2237	122
948	2239	120
949	2241	117
950	2243	115
951	2245	113
952	2247	110
953	2249	108
954	2251	106
955	2253	103
956	2255	101
957	2258	98
958	2260	96
959	2262	94
960	2264	91
961	2266	89
962	2268	87
963	2271	84
964	2273	82
965	2275	80
966	2277	77
967	2279	75
968	2281	72
969	2283	70
970	2285	68
971	2287	65
972	2289	63
973	2291	61
974	2293	58
975	2295	56
976	2297	54
977	2299	51
978	2301	49
979	2304	47
980	2306	44
981	2307	42
982	2309	39
983	2311	37
984	2313	35
985	2315	32
986	2318	30
987	2320	28
988	2322	25
989	2323	23
990	2325	21
991	2327	18
992	2329	16
993	2331	14
994	2333	11
995	2335	9
996	2337	7
997	2340	4
998	2342	2
999	2344	0
